Date : 2022-03-23 23:43:06
Directory : /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts
Total : 138 files,  3368 codes, 4 comments, 644 blanks, all 4016 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        138 |      3,368 |          4 |        644 |      4,016 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Level/Creator/LevelCreator.cs                                   | C#       |         76 |          0 |         12 |         88 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Level/Interface/ILevelCollection.cs                             | C#       |         10 |          0 |          2 |         12 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Level/LevelCollection.cs                                        | C#       |         26 |          0 |          4 |         30 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Level/LevelDescriptor.cs                                        | C#       |        102 |          0 |         22 |        124 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Mangers/Resource/Interface/IResourceManager.cs                  | C#       |         21 |          0 |          3 |         24 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Mangers/Resource/Interface/IWindowResourceManager.cs            | C#       |         10 |          0 |          2 |         12 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Mangers/Resource/ResourceManager.cs                             | C#       |        106 |          0 |         21 |        127 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Mangers/Sound/Interface/ISoundManager.cs                        | C#       |         14 |          0 |          3 |         17 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Mangers/Sound/SoundManager.cs                                   | C#       |         66 |          0 |         12 |         78 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/CameraFollowSystem.cs                                    | C#       |         44 |          0 |          6 |         50 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/ChaoticEnemyMovementSystem.cs                            | C#       |         47 |          0 |          9 |         56 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/EnemyActivatorTileSystem.cs                              | C#       |         26 |          0 |          4 |         30 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/EnemyDeactivatorTileSystem.cs                            | C#       |         29 |          0 |          4 |         33 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/EnemyHitSystem.cs                                        | C#       |         34 |          0 |          5 |         39 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/InputSystem.cs                                           | C#       |         42 |          0 |          8 |         50 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/ICallableSystem.cs                             | C#       |          6 |          0 |          1 |          7 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/ICameraFollowSystem.cs                         | C#       |          6 |          0 |          0 |          6 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/IChaoticEnemyMovementSystem.cs                 | C#       |          6 |          0 |          1 |          7 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/ICollectionSystem.cs                           | C#       |         10 |          0 |          2 |         12 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/IControllerMovementSystem.cs                   | C#       |         12 |          0 |          3 |         15 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/IEnemyActivatorTileSystem.cs                   | C#       |          6 |          0 |          0 |          6 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/IEnemyDeactivatorTileSystem.cs                 | C#       |          6 |          0 |          0 |          6 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/IEnemyHitSystem.cs                             | C#       |          6 |          0 |          0 |          6 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/IInputSystem.cs                                | C#       |          8 |          0 |          1 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/ILevelFinishSystem.cs                          | C#       |          6 |          0 |          0 |          6 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/IMovementSytem.cs                              | C#       |          8 |          0 |          2 |         10 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/IPlayerHealthSystem.cs                         | C#       |         11 |          0 |          2 |         13 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/IPortalSystem.cs                               | C#       |          6 |          0 |          1 |          7 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/ISlidingTileSystem.cs                          | C#       |          6 |          0 |          0 |          6 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/IStalkerEnemyMovementSystem.cs                 | C#       |          6 |          0 |          1 |          7 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/IUpdatableSystem.cs                            | C#       |          7 |          0 |          1 |          8 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/IWallHitSystem.cs                              | C#       |          6 |          0 |          0 |          6 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/Interface/IWaypointMovementSystem.cs                     | C#       |          6 |          0 |          0 |          6 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/LevelFinishSystem.cs                                     | C#       |         27 |          0 |          4 |         31 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/PlayerHealthSystem.cs                                    | C#       |         42 |          0 |          9 |         51 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/PlayerMovementSystem.cs                                  | C#       |         71 |          0 |         12 |         83 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/PortalSystem.cs                                          | C#       |         29 |          0 |          6 |         35 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/RequiredCollectionSystem.cs                              | C#       |         31 |          0 |          6 |         37 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/SlidingTileSystem.cs                                     | C#       |         59 |          0 |         10 |         69 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/StalkerEnemyMovementSystem.cs                            | C#       |         33 |          0 |          6 |         39 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/WallHitSystem.cs                                         | C#       |         16 |          0 |          2 |         18 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/System/WaypointMovementSystem.cs                                | C#       |         80 |          1 |         14 |         95 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/UI/LanguageButton.cs                                            | C#       |         23 |          0 |          5 |         28 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/UserData/Interface/IGetUserProgressData.cs                      | C#       |          9 |          0 |          1 |         10 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/UserData/Interface/IGetUserSettingsData.cs                      | C#       |          7 |          0 |          0 |          7 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/UserData/Interface/ISetUserProgressData.cs                      | C#       |          8 |          0 |          1 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/UserData/Interface/ISetUserSettingsData.cs                      | C#       |          8 |          0 |          1 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/UserData/InternalStorageGetUserProgressProgressData.cs          | C#       |         96 |          1 |         26 |        123 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/UserData/UserProgressData.cs                                    | C#       |         61 |          0 |         12 |         73 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/UserData/UserSettingsData.cs                                    | C#       |         14 |          0 |          3 |         17 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/Factory/AbstractWindowFactory.cs                         | C#       |         46 |          0 |          5 |         51 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/Factory/Interface/IAbstractWindowFactory.cs              | C#       |         12 |          0 |          1 |         13 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/Factory/Interface/IWindowFactory.cs                      | C#       |         10 |          0 |          1 |         11 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/FogFollowWindow/FogFollowWindowController.cs             | C#       |         25 |          0 |          6 |         31 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/FogFollowWindow/FogFollowWindowFactory.cs                | C#       |         29 |          0 |          7 |         36 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/FogFollowWindow/FogFollowWindowPresenter.cs              | C#       |         39 |          0 |          7 |         46 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/FogFollowWindow/FogFollowWindowView.cs                   | C#       |         26 |          0 |          6 |         32 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/FogFollowWindow/Interface/IFogFollowWindowController.cs  | C#       |          7 |          0 |          2 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/FogFollowWindow/Interface/IFogFollowWindowPresenter.cs   | C#       |          7 |          0 |          1 |          8 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/FogFollowWindow/Interface/IFogFollowWindowView.cs        | C#       |         10 |          0 |          3 |         13 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/FogFollowWindow/Interface/IFogWindowEventReceiver.cs     | C#       |          6 |          0 |          1 |          7 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/GameWindow/GameWindowController.cs                       | C#       |         24 |          0 |          5 |         29 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/GameWindow/GameWindowFactory.cs                          | C#       |         29 |          0 |          6 |         35 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/GameWindow/GameWindowPresenter.cs                        | C#       |         51 |          0 |         10 |         61 |
